STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ASSET_CODE,Asset type,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2021,,76.37622547921318,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2021,,67.52872451777853,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2020,,68.00111649297448,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2020,,74.51385585075298,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2019,,69.2916628488383,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2019,,65.89764367760738,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2018,,65.9227911963929,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,BEL,Belgium,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2019,,75.27114101534178,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,BEL,Belgium,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2018,,70.20101796063301,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,BEL,Belgium,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",V,Current prices,N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2024,,95.22475213877723,,A,Normal value,0,Units,,,2,Two
